51-й км;HAO7;62.47548;63.76712;154;25;25;Твёрдое
Потная;HFJ1;61.77227;68.17785;0;16;15;Твёрдое
Дирекция;HA8U;61.05493;72.61573;34;25;25;Твёрдое (бетон)
Комсомольский;HDU7;62.25732;67.00018;52;;;
Западная Даниловка;ZBC6;60.87080;63.91695;78;;;
802 км;HBB0;63.51007;64.23827;55;;;
Пыть-Ях (Котельная);HG08;60.70400;72.88070;74;30;30;Твёрдое
Карым-Кары;HAJ3;62.02570;67.39415;46;;;
Алтай;ZDG2;60.33755;68.95078;37;560;60;Нетвёрдое (грунт)
НПС Юган;HB7M;60.91098;74.41198;60;25;23;Твёрдое
Белоярский;USHQ;63.68798;66.69982;25;2140;44;Твёрдое (бетон)
Филипповка;HB2Y;60.89805;64.82457;70;;;
Река Кума;HGV8;59.50540;66.68722;50;20;20;Твёрдое
НПС Красноленинская;HAE5;61.72353;66.45033;67;30;30;Твёрдое
Зимник;HGX9;60.45198;70.06438;82;20;20;Твёрдое
Ваньеган;HC0R;61.82552;77.23568;65;20;20;Твёрдое
Урай;HF1L;60.11328;64.82665;62;306;30;Твёрдое
723-й км;HHL2;60.67304;74.88914;82;20;20;Твёрдое
Даниловка;HA8K;60.93873;64.13905;83;24;24;Твёрдое
Убинская;HB4C;60.69367;64.68223;71;25;25;Твёрдое (бетон)
Приполярный;HAP4;63.20369;59.75355;307;50;40;Твёрдое
НПС Ильичевка;HAB2;59.52947;67.69742;41;18;18;Твёрдое (бетон)
Урманный;HB4Y;61.62742;67.82296;45;16;16;Твёрдое
Селиярово;HB2Q;61.29527;70.38313;37;12;12;Твёрдое
Охтеурье;HBG7;60.97870;78.93882;46;18;18;Твёрдое
Интеграл;HD7X;60.89870;76.49760;24;24;24;Твёрдое (бетон)
61-й км;HAE2;60.48872;72.20627;79;48;48;Твёрдое
Пойковский;USRJ;60.99035;71.97527;45;30;20;Твёрдое
Кайгарка;HGX6;60.17613;70.11567;92;22;20;Твёрдое
Таежная КС;HB3V;61.95152;64.83453;122;40;20;Твёрдое (бетон)
Зайцева Речка;HC19;60.64278;76.64350;53;19;18;Твёрдое
Сосновская КС;HB3H;64.02277;69.54148;116;;;
Луговая;USHL;59.71763;65.91017;53;678;40;Нетвёрдое (грунт)
532-й км;HBA8;62.86645;64.95467;8;25;25;Твёрдое
Верхнеказымская КС;HBA1;63.82163;67.78838;21;;;
Когалым;USRK;62.19058;74.53358;67;2500;42;Твёрдое (железобетон)
Игрим;USHI;63.19777;64.44193;15;2030;70;Нетвёрдое (грунт)
Хомес-2;HE71;63.48573;59.81635;141;12;12;Твёрдое
Бобровка;HA85;59.97518;69.92840;35;20;20;Твёрдое
Угут (ДНС);HC2O;60.51472;74.11085;52;18;18;Твёрдое (бетон)
Ваховск;HD6K;60.95363;78.77007;67;;;
Южно-Заболотный;HJ0J;61.68974;68.23918;105;10;10;Твёрдое
Подбаза Геолог;HA93;62.17405;65.34935;134;30;30;Твёрдое (бетон)
Усть-Колекъеган;HB4T;61.11085;78.24975;45;22;20;Твёрдое (бетон)
Западный;HAI2;61.03370;76.05873;37;720;40;Нетвёрдое (грунт)
Бобровская КС;HBA0;63.24160;66.95172;119;;;
