pollotion_type;lon;lat;reg_date;last_date;ground_type;square;pollution_level;restovration_date
газовый конденсат;77.439654;61.609343;11.03.2020;"25.05.2019; 11:00";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0257;Отбор проб не производился;До 2023
газовый конденсат;77.430958;61.610370;11.03.2020;"26.06.2019; 09:30"; земли промышленности, земли лесного фонда ;0,0695;Отбор проб не производился;До 2023
нефть;77.375259;61.542650;11.03.2020;"01.10.2019; 14:40";земли лесного фонда в долгосрочной аренде;0,0097;Отбор проб не производился;До 2023
нефть;77,461711;61,625932;02.03.2021;24.03.2020;земли лесного фонда в долгосрочной аренде, земли промышленности;0,0349;Отбор проб не производился;до 2025
нефть;77,430998;61,622685;02.03.2021;08.11.2020;земли лесного фонда в долгосрочной аренде, земли промышленности;0,0199;Отбор проб не производился;до 2025
нефтесодержащая жидкость;77,203402;61,4057;19.03.2019;-;земли лесного фонда;0,0076;330365;До 2022
нефтесодержащая жидкость;77,134026;61,3597;19.03.2019;-;земли лесного фонда;0,006;334143;До 2022
нефть;77.081198;61.251600;11.03.2020;"22.03.2019; 13:30";земли лесного фонда в долгосрочной аренде, земли лесного фонда, земли промышленности;0,1418;Отбор проб не производился;До 2023
нефть;77.153421;61.343810;11.03.2020;"23.04.2019; 12:50";земли лесного фонда в долгосрочной аренде, земли промышленности;0,053;Отбор проб не производился;До 2023
нефть;77,153610;61,343176;02.03.2021;13.07.2020;земли лесного фонда в долгосрочной аренде;0,0487;Отбор проб не производился;до 2025
подтоварная вода;77,141882;61,358281    ;02.03.2021;16.09.2020;земли лесного фонда в долгосрочной аренде;0,0193;Отбор проб не производился;до 2025
подтоварная вода;77,157013;61,345031;02.03.2021;16.10.2020;земли лесного фонда в долгосрочной аренде, земли промышленности;0,0302;Отбор проб не производился;до 2025
нефтесодержащая жидкость;78.018979 ;61.583124 ;15.02.2017;"20.04.2016; 09:50";земли лесного фонда в долгосрочной аренде;0,0056;Отбор проб не производился;до 2023
нефтесодержащая жидкость;78,123854;61,5955;19.03.2019;-;земли лесного фонда;0,1365;104158;До 2022
нефтесодержащая жидкость;78,077338;61,5838;19.03.2019;-;земли лесного фонда;0,3626;273842;До 2022
нефтесодержащая жидкость;78,076376;61,5837;19.03.2019;-;земли лесного фонда;0,1144;296358;До 2022
нефтесодержащая жидкость;78,09896;61,5837;19.03.2019;-;земли лесного фонда;0,0697;275695;До 2022
нефтесодержащая жидкость;78,129579;61,5933;19.03.2019;-;земли лесного фонда;0,221;378088;До 2022
нефтесодержащая жидкость;78,134439;61,5923;19.03.2019;-;земли лесного фонда;0,3181;234085;До 2022
нефть;78,100273;61,638701;02.03.2021;01.01.2020;земли лесного фонда в долгосрочной аренде;0,0108;Отбор проб не производился;до 2025
нефть;78,078908;61,583324;02.03.2021;02.10.2020;земли лесного фонда в долгосрочной аренде, земли промышленности, земли лесного фонда;0,2219;Отбор проб не производился;до 2025
нефть;78,087137;61,601896;02.03.2021;13.11.2020;земли лесного фонда в долгосрочной аренде, земли промышленности;0,0183;Отбор проб не производился;до 2025
нефть;78,124316;61,595467;02.03.2021;30.11.2020;земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,0998;Отбор проб не производился;до 2025
нефтесодержащая жидкость;76,451141;61,289288;15.02.2017;"03.02.2016; 09:50";земли лесного фонда в долгосрочной аренде, земли лесного фонда;1,055;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.739188  ;61.126186 ;15.02.2017;"25.02.2016; 11:00";земли лесного фонда в долгосрочной аренде;0,0058;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.737158   ;61.104973  ;15.02.2017;"29.02.2016; 13:45";земли лесного фонда в долгосрочной аренде;0,0063;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76,538735;61,298576;15.02.2017;"01.03.2016; 16:40";земли лесного фонда в долгосрочной аренде, земли лесного фонда;0,1386;Отбор проб не производился;до 2023
нефтесодержащая жидкость;76.685185  ;61.006262   ;15.02.2017;"08.03.2016; 00:40";земли лесного фонда в долгосрочной аренде, земли промышленности;0,0071;Отбор проб не производился;до 2023
