lon,lat,reg_date,last_date_cutted,square
77.43965,61.609344,2020-03-11,2019-05-25,0.0257
77.43096,61.61037,2020-03-11,2019-06-26,0.0695
77.37526,61.54265,2020-03-11,2019-10-01,0.0097
77.46171,61.62593,2021-03-02,2020-03-24,0.0349
77.431,61.622684,2021-03-02,2020-11-08,0.0199
77.2034,61.4057,2019-03-19,,0.0076
77.134026,61.3597,2019-03-19,,0.006
77.0812,61.2516,2020-03-11,2019-03-22,0.1418
77.15342,61.34381,2020-03-11,2019-04-23,0.053
77.15361,61.343178,2021-03-02,2020-07-13,0.0487
77.141884,61.35828,2021-03-02,2020-09-16,0.0193
77.15701,61.34503,2021-03-02,2020-10-16,0.0302
78.01898,61.583122,2017-02-15,2016-04-20,0.0056
78.123856,61.5955,2019-03-19,,0.1365
78.07734,61.5838,2019-03-19,,0.3626
78.07638,61.5837,2019-03-19,,0.1144
78.09896,61.5837,2019-03-19,,0.0697
78.12958,61.5933,2019-03-19,,0.221
78.13444,61.5923,2019-03-19,,0.3181
78.10027,61.638702,2021-03-02,2020-01-01,0.0108
78.07891,61.583324,2021-03-02,2020-10-02,0.2219
78.087135,61.601894,2021-03-02,2020-11-13,0.0183
78.12431,61.595467,2021-03-02,2020-11-30,0.0998
76.45114,61.289288,2017-02-15,2016-02-03,1.055
76.73919,61.126186,2017-02-15,2016-02-25,0.0058
76.73716,61.104973,2017-02-15,2016-02-29,0.0063
76.538734,61.298576,2017-02-15,2016-03-01,0.1386
76.68519,61.006264,2017-02-15,2016-03-08,0.0071
76.49386,61.16255,2017-02-15,2016-03-15,0.0641
76.822266,61.056355,2017-02-15,2016-03-17,0.0339
76.710304,61.272987,2017-02-15,2016-03-23,0.048
76.67559,61.05318,2017-02-15,2016-03-25,0.0137
76.64699,61.052166,2017-02-15,2016-04-01,0.0148
76.77983,61.209072,2017-02-15,2016-04-14,0.0177
77.0044,61.18319,2017-02-15,2016-05-13,0.027
76.8619,61.22506,2017-02-15,2016-05-24,0.0387
76.82917,61.24731,2017-02-15,2016-05-26,0.1284
76.86107,61.21228,2017-02-15,2016-05-27,0.0591
76.60833,61.094967,2017-02-15,2016-06-01,0.0034
76.532875,61.130474,2017-02-15,2016-06-10,0.0771
76.78513,61.053074,2017-02-15,2016-06-16,0.0576
76.64282,61.087917,2017-02-15,2016-06-20,0.1074
76.98468,61.019535,2017-02-15,2016-06-30,0.064
76.73667,61.0304,2017-02-15,2016-07-04,0.0151
76.75375,61.022537,2017-02-15,2016-07-21,0.0308
76.64259,61.090164,2017-02-15,2016-07-25,0.0705
76.89224,61.163704,2017-02-15,2016-07-29,0.0129
77.032875,61.19877,2017-02-15,2016-08-04,0.0053
76.89344,61.163513,2017-02-15,2016-08-11,0.0154
76.81881,61.256042,2017-02-15,2016-08-13,0.0282
76.64956,61.341877,2017-02-15,2016-08-16,0.1678
76.603195,61.434803,2017-02-15,2016-08-18,0.0035
76.60133,61.39236,2017-02-15,2016-08-19,0.0854
76.62286,61.254864,2017-02-15,2016-08-23,0.4076
76.84122,61.08365,2017-02-15,2016-08-31,0.001
76.77132,61.04603,2017-02-15,2016-09-06,0.2594
76.45569,61.571934,2017-02-15,2016-09-06,0.0563
76.58269,61.168137,2017-02-15,2016-09-06,0.0086
76.31047,61.18984,2017-02-15,2016-09-10,0.106
76.85616,61.05857,2017-02-15,2016-09-12,0.0138
76.77882,61.040478,2017-02-15,2016-09-17,0.014
76.60588,61.154274,2017-02-15,2016-09-18,0.0247
77.00092,61.18228,2017-02-15,2016-09-29,0.0263
76.429985,61.046688,2017-02-15,2016-10-17,0.1251
76.35718,61.324066,2017-02-15,2016-10-25,0.0197
77.02383,61.18854,2017-02-15,2016-10-26,0.0681
76.667725,61.115833,2017-02-15,2016-10-30,0.0814
76.86223,61.234035,2017-02-15,2016-10-30,0.0047
76.48234,61.28354,2017-02-15,2016-11-05,0.0221
76.73538,61.039272,2017-02-15,2016-11-17,0.0135
76.752014,61.027737,2017-02-15,2016-11-21,0.0079
77.02507,61.188885,2017-02-15,2016-11-23,0.2862
76.81545,61.24703,2017-02-15,2016-11-24,0.0695
76.980606,61.156807,2017-02-15,2016-11-24,0.0359
76.72574,61.161823,2017-02-15,2016-11-30,0.0045
76.79786,61.08202,2017-02-15,2016-12-09,0.7348
76.49551,61.11694,2017-02-15,2016-12-15,0.1966
76.85565,61.175293,2017-02-15,2016-12-15,0.0233
76.740265,61.03442,2017-02-15,2016-12-18,0.014
76.75996,61.178356,2017-02-15,,0.0369
76.62066,60.96719,2017-02-15,,0.1154
76.48652,61.020325,2017-02-15,2016-08-30,0.0243
76.82152,61.106464,2018-02-15,2017-01-07,0.021
76.91394,61.165947,2018-02-15,2017-01-09,0.0343
76.93015,61.02897,2018-02-15,2017-01-17,0.0064
76.79679,61.141865,2018-02-15,2017-01-23,0.0248
76.91075,61.04732,2018-02-15,2017-01-24,0.0177
76.872856,61.068436,2018-02-15,2017-01-24,0.0398
76.7355,61.087753,2018-02-15,2017-02-01,0.0882
76.83682,61.24689,2018-02-15,2017-02-06,0.0123
76.83682,61.036213,2018-02-15,2017-02-09,0.0797
76.96061,61.06809,2018-02-15,2017-02-13,0.0082
76.87729,61.01975,2018-02-15,2017-02-23,0.0118
77.0246,61.18875,2018-02-15,2017-03-01,0.0329
